word,frequency
detect,9
proper,9
sequence,9
zdotdir,9
sandbox,9
timeline,9
management,9
consistent,8
moving,8
policy,8
linux,8
sorting,8
parsing,8
common,8
loader,8
extract,8
nls,8
app,8
async,8
like,8
ctrl,8
esbuild,8
specify,8
internal,8
watch,8
starting,8
var,8
capability,8
load,8
iw,8
prompt,8
force,8
backup,8
calling,8
checkbox,8
gutter,8
formatting,8
await,8
correctly,8
basic,8
bot,8
still,8
diffing,8
bundle,8
race,8
overflow,8
polish,8
alt,8
bring,8
sponsor,8
restored,8
whether,8
share,8
fold,8
system,8
reconnect,8
submenu,8
area,8
banner,8
fire,8
checking,8
fetching,8
mime,8
created,8
column,8
directory,8
parent,8
eslint,8
many,8
increase,8
two,8
preserve,8
modified,8
settingfix,7
feedback,7
codicons,7
semantic,7
job,7
widgetadd,7
installed,7
execute,7
address,7
unicode,7
across,7
edits,7
passed,7
seti,7
alignment,7
ghost,7
defined,7
require,7
resolver,7
buffer,7
attempt,7
retry,7
computing,7
unnecessary,7
clone,7
foreground,7
installing,7
quickpick,7
home,7
validation,7
authentication,7
leak,7
stack,7
readme,7
stage,7
eager,7
flow,7
menubar,7
dragging,7
editorfixes,7
restart,7
loaded,7
found,7
updated,7
length,7
non,7
decorator,7
manual,7
embedded,7
kill,7
compilation,7
hovers,7
wait,7
delay,7
untyped,7
markup,7
outdated,7
defaultprofile,7
owner,7
actual,7
align,7
containing,7
behavior,7
client,7
quote,7
audio,7
mac,7
keep,7
suggested,7
count,7
reason,7
improvementsfix,7
xterm,7
cc,7
explicit,7
tsec,7
svg,7
generate,7
expose,7
definition,7
launch,7
regular,7
devops,7
send,7
forwarding,7
cut,7
typing,7
accept,7
step,7
guide,6
rpm,6
restricted,6
viewport,6
documentation,6
unless,6
minimap,6
focusing,6
apifix,6
splice,6
needed,6
breadcrumb,6
implementation,6
cause,6
enum,6
regression,6
javascript,6
fullscreen,6
activate,6
required,6
collection,6
microsoft,6
login,6
large,6
gdpr,6
debt,6
refactor,6
dnd,6
pack,6
failing,6
eventsfix,6
displayed,6
utilityprocess,6
dedicated,6
abbreviation,6
introduce,6
spelling,6
lens,6
snap,6
refresh,6
platform,6
slow,6
applying,6
shown,6
trace,6
opacity,6
compile,6
settingadd,6
virtual,6
localized,6
loop,6
filename,6
windowsfix,6
pointer,6
proxy,6
patch,6
bottom,6
prefix,6
automatic,6
transform,6
registry,6
compute,6
parse,6
video,6
partial,6
extensionfix,6
offset,6
expand,6
given,6
provided,6
machine,6
dirty,6
locale,6
memory,6
thread,6
linksadd,6
double,6
apiadd,6
edge,6
angle,6
due,6
opened,6
yarn,6
supported,6
bad,6
nb,6
ci,6
chore,6
naming,6
flaky,6
redundant,6
workaround,6
php,6
term,6
throw,6
collapse,6
marked,5
shift,5
viewadd,5
duplicated,5
webgl,5
restoring,5
factory,5
duplication,5
selector,5
filesfix,5
exthost,5
gh,5
credential,5
explicitly,5
surround,5
free,5
fish,5
unsupported,5
devcontainer,5
tooltips,5
sdk,5
filtering,5
simplify,5
versionadd,5
collapsed,5
give,5
unify,5
finding,5
viewfix,5
titlebar,5
attachment,5
debugger,5
